,Date,Text,Incident_cause,Location,Direction_landmark,Status,Near_landmark,Between_landmark
3511,2020-05-06 11:47:00,"due to traffic accident , the middle lane of lung cheung road kwai chung bound near chuk yuen road is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,lung cheung road,kwai chung,new,chuk yuen road,
3512,2020-05-06 12:22:00,"due to traffic accident , the only lane of the slip road leading from man hong street to island eastern corridor is closed to all traffic. motorists are advised to use alternative routes. traffic is busy now. ",traffic accident,man hong street,,new,,
3513,2020-05-06 12:30:00,the only lane of the slip road leading from man hong street to island eastern corridor which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,man hong street,,updated,,
3514,2020-05-06 12:02:00,"due to traffic accident , the slow lane of lung cheung road kwai chung bound near chuk yuen road is still closed to all traffic. only remaining lane(s) are still available to motorists. traffic queue on lung cheung road kwai chung bound ends at wong tai sin plaza. traffic is congested now. ",traffic accident,lung cheung road,kwai chung,updated,chuk yuen road,
3515,2020-05-06 13:16:00,"due to watermain emergency works , the slow lane of nga tsin wai road kowloon tong bound near nga tsin long road is closed to all traffic. only the fast lane is still available to motorists. traffic is busy now. ",watermain emergency works,nga tsin wai road,kowloon tong,new,nga tsin long road,
3516,2020-05-06 14:12:00,the fast lane of canal road flyover cross harbour tunnel bound near times square which was closed due to traffic accident is re-opened to all traffic. ,traffic accident,canal road flyover,cross harbour tunnel,updated,times square,
3517,2020-05-06 17:42:00,"due to vehicle breakdown , the middle lane of tseung kwan o tunnel road tseung kwan o bound near clp power hong kong limited tseung kwan o road substation is closed to all traffic. only remaining lane(s) is still available to motorists. ",vehicle breakdown,tseung kwan o tunnel road,tseung kwan o,new,clp power hong kong limited tseung kwan o road substation,
3518,2020-05-06 17:42:00,"due to vehicle breakdown , the middle lane of tseung kwan o road tseung kwan o bound near clp power hong kong limited tseung kwan o road substation is closed to all traffic. only remaining lane(s) is still available to motorists. ",vehicle breakdown,tseung kwan o road,tseung kwan o,updated,clp power hong kong limited tseung kwan o road substation,
3519,2020-05-06 17:53:00,the middle lane of tseung kwan o road tseung kwan o bound near clp power hong kong limited tseung kwan o road substation which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,tseung kwan o road,tseung kwan o,updated,clp power hong kong limited tseung kwan o road substation,
3520,2020-05-06 17:59:00,"due to traffic accident , the slow lane of island eastern corridor central bound near provident centre is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",traffic accident,island eastern corridor,central,new,provident centre,
3521,2020-05-06 19:33:00,"due to vehicle on fire , part of the lanes of castle peak road - so kwun wat kowloon bound near hong kong gold coast is closed to all traffic.  only remaining lane is still available to motorists.   traffic is busy now. ",vehicle on fire,castle peak road - so kwun wat,kowloon,new,hong kong gold coast,
3522,2020-05-06 20:45:00,part of the lanes of castle peak road - so kwun wat kowloon bound near hong kong gold coast which was closed due to vehicle on fire is re-opened to all traffic. ,vehicle on fire,castle peak road - so kwun wat,kowloon,updated,hong kong gold coast,
3523,2020-05-07 06:09:00,"due to watermain emergency works , the slow lane of hung hom road to kwa wan bound near hok yuen street east is closed to all traffic. only remaining lane(s) are still available to motorists. ",watermain emergency works,hung hom road,to kwa wan,new,hok yuen street east,
3524,2020-05-07 07:34:00,"due to traffic accident , part of the lanes of tuen mun road kowloon bound near sea crest villa is closed to all traffic. only remaining lane(s) is still available to motorists. traffic is busy now. ",traffic accident,tuen mun road,kowloon,new,sea crest villa,
3525,2020-05-07 07:44:00,"due to traffic accident , part of the lanes of tuen mun road kowloon bound near sea crest villa is still closed to all traffic. only remaining lane(s) is still available to motorists. traffic queue on tuen mun road kowloon bound ends at tai lam. traffic is congested now. ",traffic accident,tuen mun road,kowloon,updated,sea crest villa,
3526,2020-05-07 07:53:00,"due to traffic accident , part of the lanes of tuen mun road kowloon bound near sea crest villa is still closed to all traffic. only remaining lane(s) is still available to motorists. traffic queue on tuen mun road kowloon bound ends at siu lam. traffic is congested now. ",traffic accident,tuen mun road,kowloon,updated,sea crest villa,
3527,2020-05-07 08:09:00,"due to traffic accident , part of the lanes of tuen mun road kowloon bound near sea crest villa is still closed to all traffic. only remaining lane(s) is still available to motorists. traffic queue on tuen mun road kowloon bound ends at hong kong gold coast. traffic is congested now. ",traffic accident,tuen mun road,kowloon,updated,sea crest villa,
3528,2020-05-07 08:15:00,"due to traffic accident , the fast lane of tuen mun road kowloon bound near sea crest villa is still closed to all traffic. only remaining lane(s) is still available to motorists. traffic queue on tuen mun road kowloon bound ends at chi lok fa yuen. traffic is congested now. ",traffic accident,tuen mun road,kowloon,updated,sea crest villa,
3529,2020-05-07 08:29:00,"due to traffic accident , the fast lane of tuen mun road kowloon bound near sea crest villa is still closed to all traffic. only the middle and slow lanes are still available to motorists. traffic queue on tuen mun road kowloon bound ends at tuen mun town plaza. traffic is congested now. ",traffic accident,tuen mun road,kowloon,updated,sea crest villa,
3530,2020-05-07 08:53:00,the fast lane of tuen mun road kowloon bound near sea crest villa which was closed due to traffic accident is re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,traffic accident,tuen mun road,kowloon,updated,sea crest villa,
3531,2020-05-07 09:33:00,"due to vehicle breakdown , the lane no. 3 of tuen mun road kowloon bound near siu lam interchange is closed to all traffic. only remaining lane(s) are still available to motorists. traffic is busy now. ",vehicle breakdown,tuen mun road,kowloon,new,siu lam interchange,
3532,2020-05-07 09:39:00,the lane no. 3 of tuen mun road kowloon bound near siu lam interchange which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,tuen mun road,kowloon,updated,siu lam interchange,
3533,2020-05-07 12:27:00,"due to traffic accident , part of the lanes of lung cheung road tsuen wan bound near morse park swimming pool are closed to all traffic. only remaining lane(s) are still available to motorists. traffic is busy now. ",traffic accident,lung cheung road,tsuen wan,new,morse park swimming pool,
3534,2020-05-07 12:34:00,"due to traffic accident , part of the lanes of lung cheung road tsuen wan bound near morse park swimming pool are still closed to all traffic. only remaining lane(s) are still available to motorists. traffic queue on lung cheung road tsuen wan bound ends at diamond hill mtr station. traffic is congested now. ",traffic accident,lung cheung road,tsuen wan,updated,morse park swimming pool,
3535,2020-05-07 12:46:00,"due to traffic accident , part of the lanes of lung cheung road tsuen wan bound near morse park swimming pool is still closed to all traffic. only remaining lane(s) are still available to motorists. traffic queue on lung cheung road tsuen wan bound ends at choi hung estate. traffic is congested now. ",traffic accident,lung cheung road,tsuen wan,updated,morse park swimming pool,
3536,2020-05-07 12:49:00,part of the lanes of lung cheung road tsuen wan bound near morse park swimming pool which was closed due to traffic accident are re-opened to all traffic. traffic queue(s) take(s) time to disperse. ,traffic accident,lung cheung road,tsuen wan,updated,morse park swimming pool,
3537,2020-05-07 14:07:00,"due to fire , all lanes of how ming street near hoi yuen road is closed to all traffic. motorists are advised to use alternative routes. traffic is busy now. ",fire,how ming street,,new,hoi yuen road,
3538,2020-05-07 14:46:00,all lanes of how ming street near hoi yuen road which was closed due to fire is re-opened to all traffic. ,fire,how ming street,,updated,hoi yuen road,
3539,2020-05-07 14:58:00,"due to vehicle breakdown , the lane no. 2 of lai chi kok road mong kok bound near cheung sha wan police station is closed to all traffic.  only remaining lanes are still available to motorists.   traffic is busy now. ",vehicle breakdown,lai chi kok road,mong kok,new,cheung sha wan police station,
3540,2020-05-07 15:04:00,"due to watermain burst , the slow lane of cheung sha wan road mong kok bound near lai chi kok reception centre is closed to all traffic.  only remaining lane is still available to motorists.   traffic is busy now. ",watermain burst,cheung sha wan road,mong kok,new,lai chi kok reception centre,
3541,2020-05-07 15:12:00,the lane no. 2 of lai chi kok road mong kok bound near cheung sha wan police station which was closed due to vehicle breakdown is re-opened to all traffic. ,vehicle breakdown,lai chi kok road,mong kok,updated,cheung sha wan police station,
